,code,term
122,270901009,"Schizoaffective disorder, mixed type (disorder)"
123,271428004,"Schizoaffective disorder, manic type (disorder)"
124,274948002,Endogenous depression - recurrent (disorder)
125,274952002,Borderline schizophrenia (disorder)
126,278853003,Acute schizophrenia-like psychotic disorder (disorder)
127,300706003,Endogenous depression (disorder)
128,307417003,Cycloid psychosis (disorder)
129,307504004,Oneirophrenia (finding)
130,310495003,Mild depression (disorder)
131,310496002,Moderate depression (disorder)
132,310497006,Severe depression (disorder)
133,357705009,Cotard's syndrome (disorder)
134,371596008,Bipolar I disorder (disorder)
135,441704009,Affective psychosis (disorder)
136,698957003,Depressive disorder in remission (disorder)
137,712824002,Acute polymorphic psychotic disorder without symptoms of schizophrenia (disorder)
138,712850003,Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia (disorder)
139,765176007,Psychosis and severe depression co-occurrent and due to bipolar affective disorder (disorder)
140,251000119105,"Severe major depression, single episode (disorder)"
141,417601000000102,"[X]Schizophrenia, schizotypal and delusional disorders (disorder)"
142,755311000000100,Non-organic psychosis in remission (disorder)
143,755321000000106,"Single major depressive episode, severe, with psychosis, psychosis in remission (disorder)"
144,755331000000108,"Recurrent major depressive episodes, severe, with psychosis, psychosis in remission (disorder)"
145,760721000000109,"Mixed bipolar affective disorder, in partial remission (disorder)"
146,764591000000108,"Mixed bipolar affective disorder, severe (disorder)"
147,764611000000100,"Recurrent major depressive episodes, severe (disorder)"
148,764621000000106,"Recurrent manic episodes, severe (disorder)"
149,764641000000104,"Single manic episode, severe (disorder)"
150,764671000000105,"Recurrent manic episodes, in partial remission (disorder)"
151,764731000000103,Single manic episode in partial remission (disorder)
