,code,term
0,139191001,Blood in sputum - haemoptysis [& symptom]
1,158384007,[D]Haemoptysis
2,158387000,[D]Haemoptysis NOS
3,161936004,Blood in sputum - haemoptysis [& symptom]
4,207068006,[D]Hemoptysis
5,207071003,[D]Hemoptysis NOS
6,267035006,Blood in sputum - haemoptysis
7,31741006,Blood in sputum - hemoptysis
8,400951000000108,[D]Haemoptysis NOS
9,450251000000109,[D]Hemoptysis NOS
10,66857006,Hemoptysis
