,code,term
81,39111011000001108,Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free
82,39111111000001109,Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free
83,39111311000001106,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free
84,44137711000001109,Ciclesonide 160micrograms/dose inhaler CFC free
85,9003911000001102,Alvesco 80 inhaler
86,9004211000001109,Alvesco 160 inhaler
87,23661311000001105,Fluticasone furoate 184micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler
88,23661411000001103,Fluticasone furoate 92micrograms/dose / Vilanterol 22micrograms/dose dry powder inhaler
89,28410811000001107,Berodual N inhaler
90,35936311000001102,Salbutamol 100micrograms/dose / Ipratropium 20micrograms/dose inhaler
91,3348611000001107,Combivent inhaler
92,28365011000001100,Aclidinium bromide 396micrograms/dose / Formoterol 11.8micrograms/dose dry powder inhaler
93,28357211000001106,Duaklir 340micrograms/dose / 12micrograms/dose Genuair
94,34675711000001103,Aloflute 25micrograms/dose / 250micrograms/dose inhaler
95,35515511000001100,Fusacomb Easyhaler 50micrograms/dose / 250micrograms/dose dry powder inhaler
96,35515311000001106,Fusacomb Easyhaler 50micrograms/dose / 500micrograms/dose dry powder inhaler
97,35594011000001105,Combisal 25micrograms/dose / 50micrograms/dose inhaler
98,17833911000001100,Beclometasone 250micrograms/dose inhaler
99,4774011000001109,Beclometasone 250micrograms/dose inhaler
100,3180011000001102,Beclometasone 250micrograms/dose inhaler
101,39695611000001100,Beclometasone 200microgram inhalation powder capsules
102,35907711000001105,Beclometasone 100microgram inhalation powder blisters with device
103,9479011000001103,Tiotropium bromide 18microgram inhalation powder capsules with device
104,9478911000001107,Tiotropium bromide 18microgram inhalation powder capsules
105,33596311000001107,Tiotropium bromide 10microgram inhalation powder capsules with device
106,3378211000001106,Spiriva 18microgram inhalation powder capsules with HandiHaler
107,35912711000001106,Budesonide 400micrograms/dose dry powder inhaler
108,35912111000001105,Budesonide 100micrograms/dose dry powder inhaler
109,35912011000001109,Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
110,38896811000001103,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler
111,3294611000001104,Symbicort 200/6 Turbohaler
112,4373811000001100,Symbicort 400/12 Turbohaler
113,32926011000001100,Symbicort 200micrograms/dose / 6micrograms/dose pressurised inhaler
114,8031811000001102,Budelin Novolizer 200micrograms/dose inhalation powder
115,9111811000001100,Budelin Novolizer 200micrograms/dose inhalation powder refill
116,10073911000001106,Easyhaler Budesonide 100micrograms/dose dry powder inhaler
117,10074611000001102,Easyhaler Budesonide 200micrograms/dose dry powder inhaler
118,10074411000001100,Easyhaler Budesonide 400micrograms/dose dry powder inhaler
119,25254111000001105,DuoResp Spiromax 160micrograms/dose / 4.5micrograms/dose dry powder inhaler
120,29782111000001107,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler
121,29782511000001103,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler
122,30950311000001106,AirFluSal Forspiro 50micrograms/dose / 500micrograms/dose dry powder inhaler
123,34215311000001107,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler
124,38897811000001101,Fluticasone propionate 100micrograms/dose dry powder inhaler
125,39691211000001100,Fluticasone propionate 100micrograms/dose dry powder inhaler
126,36565411000001101,Fluticasone propionate 250micrograms/dose dry powder inhaler
127,38897711000001109,Fluticasone propionate 500micrograms/dose dry powder inhaler
128,4045711000001107,Asmanex 200micrograms/dose Twisthaler
129,4043811000001103,Asmanex 400micrograms/dose Twisthaler
130,9004511000001107,Ciclesonide 80micrograms/dose inhaler CFC free
131,44221111000001101,Ciclesonide 80micrograms/dose inhaler CFC free
132,43823711000001105,Ciclesonide 80micrograms/dose inhaler CFC free
133,9714111000001103,Tilade 2mg/dose inhaler CFC free
134,35926711000001101,Sodium cromoglicate 5mg/dose inhaler
135,39712711000001109,Sodium cromoglicate 20mg inhalation powder capsules
136,13801911000001104,Sodium cromoglicate 5mg/dose inhaler CFC free
137,38958611000001101,Sodium cromoglicate 5mg/dose inhaler CFC free
138,33561211000001109,Soltel 25micrograms/dose inhaler CFC free
139,39113111000001105,Terbutaline 250micrograms/dose inhaler
140,35916311000001106,Terbutaline 500micrograms/dose dry powder inhaler
141,3248011000001106,Bricanyl 250micrograms/dose inhaler
142,3218311000001103,Bricanyl 500micrograms/dose Turbohaler
143,35907911000001107,Beclometasone 100micrograms/dose breath actuated inhaler CFC free
144,35909411000001108,Beclometasone 50micrograms/dose dry powder inhaler
145,35908011000001109,Beclometasone 100micrograms/dose dry powder inhaler
146,35908711000001106,Beclometasone 250micrograms/dose dry powder inhaler
147,35647611000001106,Fluticasone 50micrograms/dose / Formoterol 5micrograms/dose breath actuated inhaler CFC free
148,3097711000001109,Flixotide 50microgram disks with Diskhaler
149,3098611000001101,Flixotide 100microgram disks with Diskhaler
150,3106311000001102,Flixotide 250microgram disks with Diskhaler
151,7379111000001102,Beclometasone 100micrograms/dose inhaler
152,17794111000001108,Beclometasone 100micrograms/dose inhaler
153,4773811000001101,Beclometasone 100micrograms/dose inhaler
154,3178411000001103,Beclometasone 100micrograms/dose inhaler
155,35908811000001103,Beclometasone 250micrograms/dose inhaler
156,23621711000001102,Relvar Ellipta 184micrograms/dose / 22micrograms/dose dry powder inhaler
157,23622011000001107,Relvar Ellipta 92micrograms/dose / 22micrograms/dose dry powder inhaler
158,9720211000001107,Nedocromil 2mg/dose inhaler CFC free
159,4163411000001103,Tilade 2mg/dose Syncroner with spacer
160,32960711000001105,Budesonide 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free
161,2924111000001109,Pulmicort 200micrograms/dose inhaler
162,3240911000001108,Pulmicort LS 50micrograms/dose inhaler
163,3112411000001105,Pulmicort 200 Turbohaler
164,3228711000001106,Pulmicort 400 Turbohaler
165,11400011000001108,Beclometasone 50micrograms/dose inhaler
166,3176711000001105,Beclometasone 50micrograms/dose inhaler
167,17793411000001101,Beclometasone 50micrograms/dose inhaler
168,4773611000001100,Beclometasone 50micrograms/dose inhaler
169,3175911000001100,Beclometasone 50micrograms/dose inhaler
170,36603611000001108,Soprobec 100micrograms/dose inhaler
171,36603811000001107,Soprobec 250micrograms/dose inhaler
172,35912811000001103,Budesonide 50micrograms/dose inhaler
173,35912511000001101,Budesonide 200micrograms/dose inhaler
174,35912411000001100,Budesonide 200micrograms/dose dry powder inhaler
175,3177411000001102,Qvar 50 Autohaler
176,3177711000001108,Qvar 100 Autohaler
177,8159511000001107,Qvar 50micrograms/dose Easi-Breathe inhaler
178,8159711000001102,Qvar 100micrograms/dose Easi-Breathe inhaler
179,3112911000001102,Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler
180,3206811000001109,Foradil 12microgram inhalation powder capsules with device
181,3243511000001107,Oxis 6 Turbohaler
182,3245011000001103,Oxis 12 Turbohaler
183,9628711000001106,Atimos Modulite 12micrograms/dose inhaler
184,11176411000001106,Formoterol Easyhaler 12micrograms/dose dry powder inhaler
185,351411000001106,Atrovent 20micrograms/dose Autohaler
186,7389911000001105,Atrovent 20micrograms/dose inhaler CFC free
187,34954811000001109,Inhalvent 20micrograms/dose inhaler
188,37842911000001109,Ipravent 20micrograms/dose inhaler CFC free
189,2944211000001101,Oxivent 100micrograms/dose inhaler
190,3203811000001100,Intal 20mg Spincaps
191,533311000001100,Intal 5mg/dose inhaler
192,13777011000001102,Intal 5mg/dose inhaler CFC free
193,20515111000001102,Mannitol 40mg inhalation powder capsules with two devices
194,20515311000001100,Bronchitol 40mg inhalation powder capsules with two devices
195,12626211000001108,Formoterol 12microgram inhalation powder capsules with device
196,39112911000001101,Formoterol 6micrograms/dose dry powder inhaler
197,39113011000001109,Formoterol 12micrograms/dose dry powder inhaler
198,9652711000001107,Formoterol 12micrograms/dose inhaler CFC free
199,10075611000001101,Salmeterol 25micrograms/dose inhaler CFC free
200,3084011000001103,Serevent 50microgram disks with Diskhaler
201,3082411000001100,Serevent 50microgram disks
202,408911000001105,Serevent 25micrograms/dose inhaler
203,3380111000001107,Serevent 50micrograms/dose Accuhaler
204,28007211000001102,Ultibro Breezhaler 85microgram/43microgram inhalation powder capsules with device
205,35909511000001107,Beclometasone 50micrograms/dose inhaler
206,3175711000001102,Beclometasone 50micrograms/dose inhaler
207,3177111000001107,Beclometasone 50micrograms/dose inhaler
208,35937811000001108,Salmeterol 50microgram inhalation powder blisters with device
209,35938011000001101,Salmeterol 50microgram inhalation powder blisters
210,39110811000001105,Salmeterol 25micrograms/dose inhaler
211,39113211000001104,Salmeterol 50micrograms/dose dry powder inhaler
212,3103511000001100,Flixotide 250microgram disks
213,3183811000001101,Flixotide 50micrograms/dose Accuhaler
214,3184311000001107,Flixotide 100micrograms/dose Accuhaler
215,3184911000001108,Flixotide 250micrograms/dose Accuhaler
216,3185211000001103,Flixotide 500micrograms/dose Accuhaler
217,21495411000001107,Seebri Breezhaler 44microgram inhalation powder capsules with device
218,27890611000001109,Umeclidinium bromide 65micrograms/dose dry powder inhaler
219,27567911000001101,Incruse Ellipta 55micrograms/dose dry powder inhaler
220,2923111000001107,Duovent inhaler
221,44138311000001106,Ciclesonide 80micrograms/dose inhaler CFC free
222,9004411000001108,Ciclesonide 160micrograms/dose inhaler CFC free
223,44221911000001103,Ciclesonide 160micrograms/dose inhaler CFC free
224,43823911000001107,Ciclesonide 160micrograms/dose inhaler CFC free
225,9525111000001105,Easyhaler Beclometasone 200micrograms/dose dry powder inhaler
226,10617711000001103,Clenil Modulite 50micrograms/dose inhaler
227,10618211000001109,Clenil Modulite 100micrograms/dose inhaler
228,10619311000001107,Clenil Modulite 200micrograms/dose inhaler
229,38894511000001107,Ipratropium bromide 20micrograms/dose inhaler CFC free
230,27872911000001109,Ipratropium bromide 20micrograms/dose inhaler CFC free
231,24011000001103,Atrovent 20micrograms/dose inhaler
232,347611000001103,Atrovent Forte 40micrograms/dose inhaler
233,35908511000001101,Beclometasone 200micrograms/dose inhaler
234,4332611000001107,Beclometasone 200micrograms/dose inhaler
235,15052211000001104,Beclometasone 200micrograms/dose inhaler
236,35909211000001109,Beclometasone 50micrograms/dose breath actuated inhaler
237,398511000001105,Flixotide 125micrograms/dose Evohaler
238,2831211000001109,Flixotide 250micrograms/dose Evohaler
239,726611000001102,Flixotide 50micrograms/dose Evohaler
240,3186911000001100,Seretide 100 Accuhaler
241,3187211000001106,Seretide 250 Accuhaler
242,10073011000001107,Serevent 25micrograms/dose Evohaler
243,19562111000001107,Neovent 25micrograms/dose inhaler CFC free
244,19568411000001100,Neovent 25micrograms/dose inhaler CFC free
245,22650111000001100,Vertine 25micrograms/dose inhaler CFC free
246,42292311000001106,Beclometasone 100micrograms/dose inhaler
247,3178211000001102,Beclometasone 100micrograms/dose inhaler
248,3179011000001102,Beclometasone 100micrograms/dose inhaler
249,11400511000001100,Beclometasone 100micrograms/dose inhaler
250,3179811000001108,Beclometasone 250micrograms/dose inhaler
251,3180911000001103,Beclometasone 250micrograms/dose inhaler
252,11400811000001102,Beclometasone 250micrograms/dose inhaler
253,7379311000001100,Beclometasone 250micrograms/dose inhaler
254,3182611000001105,Beclazone 250 Easi-Breathe inhaler
255,3179511000001105,Beclazone 200 inhaler
256,3175211000001109,Filair 50 inhaler
257,3177911000001105,Filair 100 inhaler
258,3088611000001100,Becodisks 100microgram with Diskhaler
259,3113111000001106,Pulmicort 100 Turbohaler
